kx,ky,kz,wa,wb,wc,wd,we,wf,tag
3,-8,-22,0,0,0,47,0,48,1
3,-8,-22,0,0,0,49,0,49,1
3,-8,-22,0,0,0,48,0,49,1
3,-8,-22,0,0,0,49,0,49,1
3,-8,-22,0,0,0,48,0,48,1
3,-8,-22,0,0,0,48,0,48,1
3,-8,-22,0,0,0,49,0,49,1
3,-8,-22,0,0,0,48,0,49,1
3,-8,-22,0,0,0,49,0,48,1
3,-8,-22,0,0,0,48,0,49,1
3,-9,-19,0,0,0,48,0,50,2
3,-9,-19,0,0,0,47,0,51,2
3,-9,-19,0,0,0,48,0,50,2
3,-9,-19,0,0,0,47,0,50,2
3,-9,-19,0,0,0,48,0,50,2
3,-9,-19,0,0,0,48,0,49,2
3,-9,-19,0,0,0,48,0,50,2
3,-9,-19,0,0,0,47,0,50,2
3,-9,-19,0,0,0,48,0,50,2
3,-9,-19,0,0,0,47,0,50,2
3,-9,-20,0,0,0,34,0,50,3
3,-9,-20,0,0,0,34,0,50,3
3,-9,-20,0,0,0,34,0,50,3
3,-9,-20,0,0,0,36,0,49,3
3,-9,-20,0,0,0,34,0,48,3
3,-9,-20,0,0,0,33,0,48,3
3,-9,-20,0,0,0,33,0,50,3
3,-9,-20,0,0,0,34,0,51,3
3,-9,-20,0,0,0,34,0,50,3
3,-9,-20,0,0,0,34,0,50,3
4,-8,-14,0,0,0,41,0,55,4
3,-8,-14,0,0,0,40,0,55,4
3,-8,-14,0,0,0,40,0,55,4
3,-8,-14,0,0,0,40,0,55,4
3,-8,-14,0,0,0,41,0,54,4
3,-8,-14,0,0,0,40,0,54,4
3,-8,-14,0,0,0,41,0,54,4
3,-8,-14,0,0,0,41,0,54,4
3,-8,-14,0,0,0,40,0,50,4
3,-8,-14,0,0,0,41,0,54,4
3,-8,-13,0,0,0,47,0,49,5
3,-8,-14,0,0,0,47,0,48,5
3,-8,-14,0,0,0,47,0,49,5
3,-8,-14,0,0,0,47,0,48,5
3,-8,-14,0,0,0,47,0,46,5
3,-8,-14,0,0,0,47,0,49,5
3,-8,-14,0,0,0,46,0,49,5
3,-8,-14,0,0,0,46,0,49,5
3,-8,-14,0,0,0,47,0,49,5
3,-8,-14,0,0,0,47,0,48,5
3,-8,-13,0,0,0,41,33,56,6
3,-8,-13,0,0,0,40,36,55,6
3,-8,-13,0,0,0,41,36,55,6
3,-8,-14,0,0,0,40,34,56,6
3,-8,-13,0,0,0,40,34,56,6
3,-8,-14,0,0,0,40,34,56,6
3,-8,-13,0,0,0,40,34,56,6
3,-8,-13,0,0,0,40,34,56,6
3,-8,-13,0,0,0,41,34,56,6
3,-8,-13,0,0,0,40,34,56,6
2,-8,-20,32,0,0,36,32,45,7
2,-8,-21,32,0,0,36,32,44,7
2,-8,-21,32,0,0,33,32,45,7
2,-8,-21,32,0,0,33,30,45,7
2,-8,-21,32,0,0,36,30,45,7
2,-8,-21,32,0,0,36,30,45,7
2,-8,-21,32,0,0,34,30,45,7
2,-8,-21,32,0,0,34,33,44,7
2,-8,-21,32,0,0,34,33,45,7
2,-8,-21,32,0,0,34,33,45,7
3,-8,-12,0,0,0,33,36,50,8
2,-8,-12,0,0,0,34,36,50,8
2,-8,-12,0,0,0,33,36,50,8
2,-8,-12,0,0,0,34,37,51,8
